# run-1789252085.jsonl: device,seconds_since_applied_step,primary_group_ma_c
cpu,0.961281685,61.400000000000
cpu,1.961506259,61.583333333333
cpu,2.962910703,61.833333333333
cpu,3.965159431,62.083333333333
cpu,4.969832169,62.350000000000
cpu,5.970026627,62.583333333333
cpu,6.970262141,62.783333333333
cpu,7.974562354,62.983333333333
cpu,8.974805943,63.150000000000
cpu,9.975049152,63.316666666667
cpu,10.975293673,63.500000000000
cpu,11.975504791,63.683333333333
cpu,12.976357055,63.850000000000
cpu,13.976585195,64.033333333333
cpu,14.978573107,64.200000000000
cpu,15.978878251,64.366666666667
cpu,16.979108014,64.533333333333
cpu,17.979335483,64.700000000000
cpu,18.979573502,64.900000000000
cpu,19.979806041,65.100000000000
cpu,20.980043077,65.266666666667
cpu,21.980294902,65.450000000000
cpu,22.981068670,65.633333333333
cpu,23.982755339,65.816666666667
cpu,24.982986576,66.016666666667
cpu,25.983222410,66.216666666667
cpu,26.983747524,66.416666666667
cpu,27.987936981,66.616666666667
cpu,28.988174739,66.816666666667
cpu,29.990848971,67.000000000000
cpu,30.991319122,67.216666666667
cpu,31.991550047,67.433333333333
cpu,32.991754804,67.650000000000
cpu,33.991968157,67.866666666667
cpu,34.992205123,68.100000000000
cpu,35.994362722,68.300000000000
cpu,36.995396635,68.533333333333
cpu,37.995755238,68.766666666667
cpu,38.996582766,68.983333333333
cpu,39.999339682,69.200000000000
cpu,40.999633995,69.416666666667
cpu,42.000612545,69.633333333333
cpu,43.001123323,69.866666666667
cpu,44.003186725,70.083333333333
cpu,45.004218554,70.300000000000
cpu,46.005746538,70.516666666667
cpu,47.006540503,70.750000000000
cpu,48.009307147,70.983333333333
cpu,49.010075335,71.216666666667
cpu,50.010995566,71.433333333333
cpu,51.011224708,71.666666666667
cpu,52.011450764,71.900000000000
cpu,53.015666661,72.116666666667
cpu,54.018904513,72.333333333333
cpu,55.019134687,72.566666666667
cpu,56.019989366,72.816666666667
cpu,57.020211856,73.050000000000
cpu,58.020432472,73.283333333333
cpu,59.022130603,73.533333333333
cpu,60.022352803,73.766666666667
cpu,61.024461890,74.000000000000
cpu,62.024651098,74.050000000000
cpu,63.024877725,74.033333333333
cpu,64.025096829,74.016666666667
cpu,65.025342442,73.983333333333
cpu,66.025563118,73.983333333333
cpu,67.028532230,74.016666666667
cpu,68.029576772,74.066666666667
cpu,69.029807237,74.133333333333
cpu,70.030010531,74.200000000000
cpu,71.030287863,74.266666666667
cpu,72.031129326,74.316666666667
cpu,73.032152409,74.366666666667
cpu,74.032378145,74.433333333333
cpu,75.032600454,74.500000000000
cpu,76.033388479,74.566666666667
cpu,77.033603705,74.633333333333
cpu,78.033824351,74.700000000000
cpu,79.034744161,74.750000000000
cpu,80.034965569,74.800000000000
cpu,81.038097063,74.866666666667
cpu,82.038336865,74.916666666667
cpu,83.038872949,74.966666666667
